"person_id","first_name","last_name","primary_number","birth_date","birth_city","birth_state_province","birth_country","nationality","height","weight","active","shoots_catches","current_team_id","primary_position_code","created_at","updated_at"
8474056,"P.K.","Subban","76","1989-05-12 17:00:00-07","Toronto","ON","CAN","CAN","6' 0""",210,True,"R",1,"D","2021-10-07 15:30:22.843764-07","2021-10-07 15:30:22.843764-07"
8475193,"Tomas","Tatar","90","1990-11-30 16:00:00-08","Ilava",NULL,"SVK","SVK","5' 10""",173,True,"L",1,"L","2021-10-07 15:30:23.20757-07","2021-10-07 15:30:23.20757-07"
8476462,"Dougie","Hamilton","7","1993-06-16 17:00:00-07","Toronto","ON","CAN","CAN","6' 6""",230,True,"R",1,"D","2021-10-07 15:30:23.634349-07","2021-10-07 15:30:23.634349-07"
8476923,"Damon","Severson","28","1994-08-06 17:00:00-07","Melville","SK","CAN","CAN","6' 2""",205,True,"R",1,"D","2021-10-07 15:30:23.914524-07","2021-10-07 15:30:23.914524-07"
8477341,"Andreas","Johnsson","11","1994-11-20 16:00:00-08","Gävle",NULL,"SWE","SWE","5' 10""",195,True,"L",1,"L","2021-10-07 15:30:24.230661-07","2021-10-07 15:30:24.230661-07"
8477419,"Mason","Geertsen","54","1995-04-18 17:00:00-07","Drayton Valley","AB","CAN","CAN","6' 4""",227,True,"L",1,"D","2021-10-07 15:30:24.591188-07","2021-10-07 15:30:24.591188-07"
8477425,"Miles","Wood","44","1995-09-12 17:00:00-07","Buffalo","NY","USA","USA","6' 2""",195,True,"L",1,"L","2021-10-07 15:30:25.088496-07","2021-10-07 15:30:25.088496-07"
8477435,"Ryan","Graves","33","1995-05-20 17:00:00-07","Yarmouth","NS","CAN","CAN","6' 5""",220,True,"L",1,"D","2021-10-07 15:30:25.514227-07","2021-10-07 15:30:25.514227-07"
8478029,"Chase","De Leo","47","1995-10-24 17:00:00-07","La Mirada","CA","USA","USA","5' 9""",185,True,"L",1,"C","2021-10-07 15:30:25.897238-07","2021-10-07 15:30:25.897238-07"
8478399,"Jonas","Siegenthaler","71","1997-05-05 17:00:00-07","Zurich",NULL,"CHE","CHE","6' 2""",218,True,"L",1,"D","2021-10-07 15:30:26.29192-07","2021-10-07 15:30:26.29192-07"
8478401,"Pavel","Zacha","37","1997-04-05 16:00:00-08","Brno",NULL,"CZE","CZE","6' 3""",210,True,"L",1,"C","2021-10-07 15:30:26.617075-07","2021-10-07 15:30:26.617075-07"
8478421,"A.J.","Greer","42","1996-12-13 16:00:00-08","Joliette","QC","CAN","CAN","6' 3""",210,True,"L",1,"L","2021-10-07 15:30:27.103791-07","2021-10-07 15:30:27.103791-07"
8478841,"Colton","White","2","1997-05-02 17:00:00-07","London","ON","CAN","CAN","6' 1""",187,True,"L",1,"D","2021-10-07 15:30:27.534563-07","2021-10-07 15:30:27.534563-07"
8478868,"Christian","Jaros","83","1996-04-01 16:00:00-08","Kosice",NULL,"SVK","SVK","6' 3""",222,True,"R",1,"D","2021-10-07 15:30:27.860634-07","2021-10-07 15:30:27.860634-07"
8479407,"Jesper","Bratt","63","1998-07-29 17:00:00-07","Stockholm",NULL,"SWE","SWE","5' 10""",175,True,"L",1,"L","2021-10-07 15:30:28.173744-07","2021-10-07 15:30:28.173744-07"
8479415,"Michael","McLeod","20","1998-02-02 16:00:00-08","Mississauga","ON","CAN","CAN","6' 2""",190,True,"R",1,"C","2021-10-07 15:30:28.588234-07","2021-10-07 15:30:28.588234-07"
8479511,"Janne","Kuokkanen","59","1998-05-24 17:00:00-07","Oulunsalo",NULL,"FIN","FIN","6' 1""",193,True,"L",1,"L","2021-10-07 15:30:28.912872-07","2021-10-07 15:30:28.912872-07"
8480002,"Nico","Hischier","13","1999-01-03 16:00:00-08","Brig",NULL,"CHE","CHE","6' 1""",175,True,"L",1,"C","2021-10-07 15:30:29.230004-07","2021-10-07 15:30:29.230004-07"
8480003,"Jesper","Boqvist","70","1998-10-29 16:00:00-08","Falun",NULL,"SWE","SWE","6' 0""",180,True,"L",1,"C","2021-10-07 15:30:29.675508-07","2021-10-07 15:30:29.675508-07"
