"roster_id","team_id","year","person_id","created_at","updated_at"
1,1,20212022,8473541,"2021-10-07 15:30:22.69038-07","2021-10-07 15:30:22.69038-07"
2,1,20212022,8474056,"2021-10-07 15:30:22.76696-07","2021-10-07 15:30:22.76696-07"
3,1,20212022,8475193,"2021-10-07 15:30:23.130267-07","2021-10-07 15:30:23.130267-07"
4,1,20212022,8475809,"2021-10-07 15:30:23.479439-07","2021-10-07 15:30:23.479439-07"
5,1,20212022,8476462,"2021-10-07 15:30:23.549698-07","2021-10-07 15:30:23.549698-07"
6,1,20212022,8476923,"2021-10-07 15:30:23.842997-07","2021-10-07 15:30:23.842997-07"
7,1,20212022,8477341,"2021-10-07 15:30:24.15248-07","2021-10-07 15:30:24.15248-07"
8,1,20212022,8477419,"2021-10-07 15:30:24.451521-07","2021-10-07 15:30:24.451521-07"
9,1,20212022,8477425,"2021-10-07 15:30:24.793937-07","2021-10-07 15:30:24.793937-07"
10,1,20212022,8477435,"2021-10-07 15:30:25.325521-07","2021-10-07 15:30:25.325521-07"
11,1,20212022,8478029,"2021-10-07 15:30:25.72057-07","2021-10-07 15:30:25.72057-07"
12,1,20212022,8478399,"2021-10-07 15:30:26.099061-07","2021-10-07 15:30:26.099061-07"
13,1,20212022,8478401,"2021-10-07 15:30:26.547876-07","2021-10-07 15:30:26.547876-07"
14,1,20212022,8478406,"2021-10-07 15:30:26.859857-07","2021-10-07 15:30:26.859857-07"
15,1,20212022,8478421,"2021-10-07 15:30:27.020112-07","2021-10-07 15:30:27.020112-07"
16,1,20212022,8478841,"2021-10-07 15:30:27.392123-07","2021-10-07 15:30:27.392123-07"
17,1,20212022,8478868,"2021-10-07 15:30:27.762345-07","2021-10-07 15:30:27.762345-07"
18,1,20212022,8479407,"2021-10-07 15:30:28.098962-07","2021-10-07 15:30:28.098962-07"
19,1,20212022,8479415,"2021-10-07 15:30:28.417086-07","2021-10-07 15:30:28.417086-07"
20,1,20212022,8479511,"2021-10-07 15:30:28.834095-07","2021-10-07 15:30:28.834095-07"
21,1,20212022,8480002,"2021-10-07 15:30:29.154905-07","2021-10-07 15:30:29.154905-07"
22,1,20212022,8480003,"2021-10-07 15:30:29.508816-07","2021-10-07 15:30:29.508816-07"
23,1,20212022,8480226,"2021-10-07 15:30:29.878521-07","2021-10-07 15:30:29.878521-07"
24,1,20212022,8480883,"2021-10-07 15:30:30.353626-07","2021-10-07 15:30:30.353626-07"
25,1,20212022,8481033,"2021-10-07 15:30:30.714777-07","2021-10-07 15:30:30.714777-07"
26,1,20212022,8481068,"2021-10-07 15:30:31.212858-07","2021-10-07 15:30:31.212858-07"
27,1,20212022,8481537,"2021-10-07 15:30:31.61975-07","2021-10-07 15:30:31.61975-07"
28,1,20212022,8481559,"2021-10-07 15:30:32.229998-07","2021-10-07 15:30:32.229998-07"
29,1,20212022,8481740,"2021-10-07 15:30:32.921577-07","2021-10-07 15:30:32.921577-07"
30,1,20212022,8482110,"2021-10-07 15:30:33.320191-07","2021-10-07 15:30:33.320191-07"
31,1,20212022,8482125,"2021-10-07 15:30:33.685235-07","2021-10-07 15:30:33.685235-07"
32,2,20212022,8470187,"2021-10-07 15:30:34.082306-07","2021-10-07 15:30:34.082306-07"
33,2,20212022,8479356,"2021-10-07 15:30:34.465641-07","2021-10-07 15:30:34.465641-07"
34,2,20212022,8472382,"2021-10-07 15:30:34.903799-07","2021-10-07 15:30:34.903799-07"
35,2,20212022,8473463,"2021-10-07 15:30:35.24083-07","2021-10-07 15:30:35.24083-07"
36,2,20212022,8473504,"2021-10-07 15:30:35.599496-07","2021-10-07 15:30:35.599496-07"
37,2,20212022,8473575,"2021-10-07 15:30:35.9236-07","2021-10-07 15:30:35.9236-07"
38,2,20212022,8474066,"2021-10-07 15:30:36.03465-07","2021-10-07 15:30:36.03465-07"
39,2,20212022,8474573,"2021-10-07 15:30:36.407603-07","2021-10-07 15:30:36.407603-07"
40,2,20212022,8474709,"2021-10-07 15:30:36.703109-07","2021-10-07 15:30:36.703109-07"
41,2,20212022,8475151,"2021-10-07 15:30:37.005798-07","2021-10-07 15:30:37.005798-07"
42,2,20212022,8475209,"2021-10-07 15:30:37.328411-07","2021-10-07 15:30:37.328411-07"
43,2,20212022,8475231,"2021-10-07 15:30:37.696748-07","2021-10-07 15:30:37.696748-07"
44,2,20212022,8475314,"2021-10-07 15:30:38.233401-07","2021-10-07 15:30:38.233401-07"
45,2,20212022,8475754,"2021-10-07 15:30:38.644719-07","2021-10-07 15:30:38.644719-07"
46,2,20212022,8476419,"2021-10-07 15:30:38.950247-07","2021-10-07 15:30:38.950247-07"
47,2,20212022,8476429,"2021-10-07 15:30:39.305071-07","2021-10-07 15:30:39.305071-07"
48,2,20212022,8476917,"2021-10-07 15:30:39.63545-07","2021-10-07 15:30:39.63545-07"
49,2,20212022,8477506,"2021-10-07 15:30:39.945846-07","2021-10-07 15:30:39.945846-07"
50,2,20212022,8477527,"2021-10-07 15:30:40.223084-07","2021-10-07 15:30:40.223084-07"
51,2,20212022,8478009,"2021-10-07 15:30:40.545738-07","2021-10-07 15:30:40.545738-07"
52,2,20212022,8478445,"2021-10-07 15:30:40.704927-07","2021-10-07 15:30:40.704927-07"
53,2,20212022,8478463,"2021-10-07 15:30:41.0313-07","2021-10-07 15:30:41.0313-07"
54,2,20212022,8480071,"2021-10-07 15:30:41.301538-07","2021-10-07 15:30:41.301538-07"
55,2,20212022,8480222,"2021-10-07 15:30:41.676792-07","2021-10-07 15:30:41.676792-07"
56,2,20212022,8480789,"2021-10-07 15:30:41.938875-07","2021-10-07 15:30:41.938875-07"
57,2,20212022,8480819,"2021-10-07 15:30:42.321091-07","2021-10-07 15:30:42.321091-07"
58,2,20212022,8480865,"2021-10-07 15:30:42.465493-07","2021-10-07 15:30:42.465493-07"
59,2,20212022,8481541,"2021-10-07 15:30:42.85208-07","2021-10-07 15:30:42.85208-07"
60,3,20212022,8471817,"2021-10-07 15:30:43.280333-07","2021-10-07 15:30:43.280333-07"
61,3,20212022,8475184,"2021-10-07 15:30:43.572659-07","2021-10-07 15:30:43.572659-07"
62,3,20212022,8475747,"2021-10-07 15:30:43.909121-07","2021-10-07 15:30:43.909121-07"
63,3,20212022,8475797,"2021-10-07 15:30:44.279341-07","2021-10-07 15:30:44.279341-07"
64,3,20212022,8476458,"2021-10-07 15:30:44.719561-07","2021-10-07 15:30:44.719561-07"
65,3,20212022,8476459,"2021-10-07 15:30:45.084312-07","2021-10-07 15:30:45.084312-07"
66,3,20212022,8476624,"2021-10-07 15:30:45.420407-07","2021-10-07 15:30:45.420407-07"
67,3,20212022,8476885,"2021-10-07 15:30:45.70708-07","2021-10-07 15:30:45.70708-07"
68,3,20212022,8478048,"2021-10-07 15:30:46.077595-07","2021-10-07 15:30:46.077595-07"
69,3,20212022,8478104,"2021-10-07 15:30:46.222687-07","2021-10-07 15:30:46.222687-07"
70,3,20212022,8478211,"2021-10-07 15:30:46.509193-07","2021-10-07 15:30:46.509193-07"
71,3,20212022,8478550,"2021-10-07 15:30:46.792692-07","2021-10-07 15:30:46.792692-07"
72,3,20212022,8479291,"2021-10-07 15:30:47.061969-07","2021-10-07 15:30:47.061969-07"
73,3,20212022,8479323,"2021-10-07 15:30:47.3998-07","2021-10-07 15:30:47.3998-07"
74,3,20212022,8479324,"2021-10-07 15:30:47.777972-07","2021-10-07 15:30:47.777972-07"
75,3,20212022,8479328,"2021-10-07 15:30:48.143258-07","2021-10-07 15:30:48.143258-07"
76,3,20212022,8479333,"2021-10-07 15:30:48.754641-07","2021-10-07 15:30:48.754641-07"
77,3,20212022,8480078,"2021-10-07 15:30:49.113364-07","2021-10-07 15:30:49.113364-07"
78,3,20212022,8480289,"2021-10-07 15:30:49.689288-07","2021-10-07 15:30:49.689288-07"
79,3,20212022,8480382,"2021-10-07 15:30:50.030291-07","2021-10-07 15:30:50.030291-07"
80,3,20212022,8480817,"2021-10-07 15:30:50.126761-07","2021-10-07 15:30:50.126761-07"
81,3,20212022,8480833,"2021-10-07 15:30:50.470526-07","2021-10-07 15:30:50.470526-07"
82,3,20212022,8480878,"2021-10-07 15:30:51.429293-07","2021-10-07 15:30:51.429293-07"
83,3,20212022,8481554,"2021-10-07 15:30:51.826994-07","2021-10-07 15:30:51.826994-07"
84,3,20212022,8482109,"2021-10-07 15:30:52.452879-07","2021-10-07 15:30:52.452879-07"
